hscode,description,net_wt_kg,assess_value_bdt,invoice_value_bdt
01051110,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),39400,2696510198,1717316501
01051310,Parent stock of one day chick of ducks,307,6149758,5109403
01061900,"MAMMALS, NES",7,88714,8624
01063200,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS)",40,1577095,245400
01063900,OTHER BIRDS,302,7053288,1058901
01069000,"OTHER LIVE ANIMALS, NES",60,150225,61350
03011100,"Ornamental fish, Freshwater",70,219049,207363
03019110,"Live Trout(Salmo Trutta,Onc'Ync'Mykiss,Clarki,Ag'Ab'Ta,Gilae,Apach.) fry",32,15348787,14806086
03021490,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) EXCL. Wrapped/canned up,700,1314228,932765
03021990,"Fish...ruhi,katla,......,pangash, karp & alike, excl. wrapped/canned upto 2.5kg Other",701053,92939816,43385687
03024210,"Anchovies (Engraulis spp), Wrapped/canned upto 2.5 Kg",4,2651,1825
03024310,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus)Wr",58,43072,11779
03024390,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus) E",12,8929,8834
03028490,"Seabass (Dicentrarchus spp), EXCL. Wrapped/canned upto 2.5 Kg",109,108934,6135
03028919,Hilsha fish (EXCL.wrapped/canned upto 2.5 kg),11876,2955959,1926711
03032490,"Other Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",50900,5699279,5620887
03032610,"Eels (Anguilla spp), Wrapped/canned upto 2.5 Kg",65,48810,6135
03032990,"Fish frozen.. Excl. wrapped/canned upto 2.5kg ruhi, katla,..,karp and alike Other",32000,3583047,3533760
03034390,"Frozen Skipjack Or Stripe-Bellied Bonito(Excl.Livers & Roes),nes",56798,6359702,5989993
03035190,"Herrings (Clupea harengus,Clupea pallasii), NES",220750,24722582,23080484
03035490,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), EXCL. Wrapped/can",88300,9887026,8057709
03035590,Other Jack and horse mackerel (Trachurus spp),172630,19338343,18480092
03035990,Wrapped/canned upto 2.5 kg,170930,42547349,40295171
03038390,"Toothfish (Dissostichus spp), EXCL. Wrapped/canned upto 2.5 Kg",106,79673,6135
03038990,"Other fish, excluding livers and roes :",1737067,234039892,156488581
03048690,"Herrings (Clupea harengus, Clupea pallasii), EXCL. Wrapped/canned upto 2.5 Kg",35,35043,4295
03048790,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito...pelamis), EXCL. Wrappe",74,74498,7755
03049490,Other Alaska Pollack (Theraga chalcogramma),3,2816,2788
03055290,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ict",840,261479,175216
03055410,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sa",16,3470,3436
03055990,"OTHER DRIED FISH(EXCL.COD),NES",605620,156745886,76677788
03056390,"Anchovies Salted Or In Brine But Not Dried Or Smoked, Nes",10,1240,1190
03057210,"Fish heads, tails and maws Wrapped/canned upto 2.5 Kg",8,4005,982
03063510,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)",22,4325747,4240512
03063610,Other shrimps and prawns,8,2781474,2630824
03063690,Other shrimps and prawns,263,57670646,8529037
03072110,"Scallops, Live, Fresh Or Chilled Wrapped/Canned Upto 2.5kg",32,32443,31804
03075110,"Octopus Live, Fres Or Chilled, Wrapped/Canned Upto 2.5kg",8,6007,5890
03078210,"Live, fresh or chilled stromboid conchs (Strombus spp.)",8,3173,3141
04011010,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Wrapped/Canned upto 2.5 kg",2260,282902,180246
04011090,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Nes",3531,2137992,1461489
04012010,"Milk & Cream Of>1%But<=6%Fat,Not Concentrated Or Sweetened,Wrap./Cann. upto 2.5 kg",28704,3593025,2756627
04021010,"Milk&Cream In Powder Forms<=1.5%Fat,Con... Or Sweet.,In Reta.Pk.Upto 2.5kg",1440,758442,223805
04021090,Other,3180800,991464976,975363282
04022110,"Milk&Cream In Powder Forms >1.5%Fat,Notsweetened R.Pkt.=<2.5kg",49017,25908166,24338680
04022190,Other,7097270,3058112232,3019259697
04022910,Milk&Cream In Powder Forms >1.5% Fat Sweet Or Conc. In Ret.Pk.=<2.5kg,10104,5374829,4456366
04029900,Sweetened Milk And Cream (Excl. In Solid Form),17558,1127491,890158
04032000,yogurt,2768,520554,483612
04039000,"BUTTERMILK, CURDED MILK AND CREAM.., EXCL. YOGURT",480,292044,277057
04049000,"Products Consisting Of Natural Milk Constituents, Nes",200000,27536579,26994000
04059000,Fats And Oils Derived From Milk (Excl. Butter And Dairy Spreads),33874,28557503,27992972
04062000,Grated Or Powdered Cheese,300,534334,523806
04063000,"Processed Cheese, Not Grated Or Powdered",4308,2836124,1852969
04069000,"Cheese, Nes",8946,5823874,5226230
04090010,"Naturel honey, wrapped/canned upto 2.5 kg",16061,10013832,5755600
04090090,"Naturel honey, Exclu. wrapped/canned upto 2.5 kg",22095,8246453,7690713
05010000,"Human Hair And Waste, Unworked",48742,74941400,13672292
05029000,Badger And Other Brush Making Hair & Waste There Of,8,31216,30913
05080000,"Coral; Shells Of Molluscs, Crustaceans, Unworked",10,31292,30675
05111000,Bovine Semen,0,19776271,19386600
05119100,"Products Of Fish, Crus.,Mollus.,Other Aquatic, Invet Dead Anim.Of Chapt. 3",475262,35692725,24032029
06023000,"Rhododendrons And Azaleas, Grafted Or Not",12114,486646,397548
06024000,"Roses, Grafted Or Not",9523,831084,564420
06029010,"Other Live Plants,Cutting And Slips, Mushroom Spawn",27500,2075084,1894487
06029090,"Other Live Plants,Cutting And Slips, Mushroom Spawn",10495,1213049,886661
06031100,Roses,1489,931897,423421
06031200,Carnations,516,322686,144596
06031300,Orchids,287,179485,77276
06031400,Chrysanthemums,531,332488,132674
06031500,Lilies (Lilium spp),1624,1016306,499610
06031900,Cut flowers & flower buds of a kind suitable for bouquets or for ornamental pur,1425,891543,392347
06042000,"Foliage, branches and other parts of plants, without flowers .or otherwise prepared, Fr",330,206514,121473
07020019,"Tomatoes, Fresh, Nes",443,114706,71896
07031019,"Onions, Fresh Or Chilled, Nes",159424,10167197,6909918
07032090,"Garlic, Fresh Or Chilled, Nes",7479228,899115999,884807087
07039090,"Leeks And Other Alliaceous Vegetables, Nes, (excl. Wrapped/Canned upto 2.5 kg)",1640,410238,283387
07041010,"Cauliflowers And Headed Broccoli, Fresh Or Chilled, Wrapped/Canned upto 2.5 kg",150,46908,18387
07041090,"Cauliflowers And Headed Broccoli, Fresh Or Chilled, Nes",1574,495515,306622
07042090,"Brussels Sprouts, Fresh Or Chilled, Nes",532,166721,96815
07051110,"Cabbage Lettuce, Fresh Or Chilled, Wrapped/Canned upto 2.5 kg",613,153525,65402
