hscode,description,net_wt_kg,assess_value_bdt,invoice_value_bdt
01051110,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),12955,787116293,1012943678
01061900,"MAMMALS, NES",35,127918,130489
01063900,OTHER BIRDS,327,1220068,7243390
01069000,"OTHER LIVE ANIMALS, NES",56,128880,363119
03011100,"Ornamental fish, Freshwater",38,111451,119034
03019110,"Live Trout(Salmo Trutta,Onc'Ync'Mykiss,Clarki,Ag'Ab'Ta,Gilae,Apach.) fry",13,10548191,10830312
03021490,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) EXCL. Wrapped/canned up,1272,1825929,2388934
03021990,"Fish...ruhi,katla,......,pangash, karp & alike, excl. wrapped/canned upto 2.5kg Other",1018424,64797783,138697814
03023190,"Fresh Or Chilled Albacore Or Longfinned Tunas(Excl.Livers & Roes),nes",21,10310,10332
03024310,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus)Wr",63,9083,48076
03024390,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus) E",17,2946,12770
03028490,"Seabass (Dicentrarchus spp), EXCL. Wrapped/canned upto 2.5 Kg",61,4173,60696
03028919,Hilsha fish (EXCL.wrapped/canned upto 2.5 kg),9198,1674004,2303262
03032490,"Other Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",16820,1858088,1884009
03032610,"Eels (Anguilla spp), Wrapped/canned upto 2.5 Kg",21,15613,15926
03032990,"Fish frozen.. Excl. wrapped/canned upto 2.5kg ruhi, katla,..,karp and alike Other",18550,2049199,2283404
03034390,"Frozen Skipjack Or Stripe-Bellied Bonito(Excl.Livers & Roes),nes",63017,6579352,7067696
03035190,"Herrings (Clupea harengus,Clupea pallasii), NES",231030,23754668,25881529
03035490,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), EXCL. Wrapped/can",244700,21621039,27435093
03035590,Other Jack and horse mackerel (Trachurus spp),238350,21421480,26742595
03035990,Wrapped/canned upto 2.5 kg,153268,37337113,38150213
03038390,"Toothfish (Dissostichus spp), EXCL. Wrapped/canned upto 2.5 Kg",54,6137,40264
03038990,"Other fish, excluding livers and roes :",2185969,209788632,318914176
03046290,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), EXCL. Wrapped/canned u",35196,5795232,6570316
03048690,"Herrings (Clupea harengus, Clupea pallasii), EXCL. Wrapped/canned upto 2.5 Kg",26,2578,26041
03048790,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito...pelamis), EXCL. Wrappe",64,14729,63605
03048990,"Tunas (of the genus Thunnus), skipjack or stripe-bellied , NES, EXCL.Wrapped/canned upto",17,4173,17027
03055290,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ict",4650,989123,1446357
03055490,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sa",12,3682,3707
03055990,"OTHER DRIED FISH(EXCL.COD),NES",844130,107069745,213644703
03063610,Other shrimps and prawns,100,20300078,23214533
03072110,"Scallops, Live, Fresh Or Chilled Wrapped/Canned Upto 2.5kg",4,3928,4006
03072190,"Scallops, Live, Fresh Or Chilled,Nes",10,2455,10016
03073190,"Mussels, Live, Fresh Or Chilled,Nes",20,4910,20032
03074310,"Cuttle fish and squid , Frozen, Wrapped/canned upto 2.5 kg",10000,2135733,2177905
03075110,"Octopus Live, Fres Or Chilled, Wrapped/Canned Upto 2.5kg",9,6923,7061
04011010,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Wrapped/Canned upto 2.5 kg",2681,329021,334126
04011090,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Nes",4045,1712340,2341235
04012010,"Milk & Cream Of>1%But<=6%Fat,Not Concentrated Or Sweetened,Wrap./Cann. upto 2.5 kg",41994,4450794,5298810
04012090,"Milk & Cream Of >1%But<=6% Fat,Not Concentrated Or Sweetened, Nes",4,2455,2468
04015010,"Milk & cream ..added sugar or ..Of a fat content, by weight, >10%, Wrapped./Canned upto",540,185588,188454
04021090,Other,5833800,1737661296,1781330304
04022190,Other,12857400,5225028813,5331076867
04022910,Milk&Cream In Powder Forms >1.5% Fat Sweet Or Conc. In Ret.Pk.=<2.5kg,660,303683,351097
04029900,Sweetened Milk And Cream (Excl. In Solid Form),4918,328495,333419
04032000,yogurt,17,3222,14554
04039000,"BUTTERMILK, CURDED MILK AND CREAM.., EXCL. YOGURT",16050,1895015,2256902
04041000,Whey imported by food processing industry,150000,18227380,18668089
04049000,"Products Consisting Of Natural Milk Constituents, Nes",824975,121934159,124869110
04051000,Butter,13072,6593207,7622227
04052000,Dairy Spreads,2452,1012244,1342451
04059000,Fats And Oils Derived From Milk (Excl. Butter And Dairy Spreads),17395,13879155,14168284
04061000,"Fresh (Unripened Or Uncured)Cheese, Including Whey Cheese And Curd",1485,710868,721850
04062000,Grated Or Powdered Cheese,5805,5615893,6909321
04063000,"Processed Cheese, Not Grated Or Powdered",8191,5070015,5171507
04064000,Blueveined cheese and other cheese containing veins produced by Penicillium ro,135,63796,64781
04069000,"Cheese, Nes",48070,21703154,25843043
04071900,Birds Fertilised eggs for incubation EXCL. Of fowls of the species Gallus domesticu,130,786981,802798
04090010,"Naturel honey, wrapped/canned upto 2.5 kg",7704,2785198,4820345
05010000,"Human Hair And Waste, Unworked",61299,28080841,97912491
05029000,Badger And Other Brush Making Hair & Waste There Of,15,35540,35889
05079000,"Tortoise-Shell,Whalebone Hair Horns,Antlers,Hooves,Nails,Claws,Beaks",6120,300476,371794
05080000,"Coral; Shells Of Molluscs, Crustaceans, Unworked",201000,1090083,3652102
05111000,Bovine Semen,15,2818923,3856667
05119100,"Products Of Fish, Crus.,Mollus.,Other Aquatic, Invet Dead Anim.Of Chapt. 3",465255,25336958,36984767
06022000,"Trees,Shrubs,Bushes, Grafted Or Not, Of Kind Bearing Edible Fruit Or Nuts",25200,748734,1502477
06029010,"Other Live Plants,Cutting And Slips, Mushroom Spawn",25000,1210681,1898668
06029090,"Other Live Plants,Cutting And Slips, Mushroom Spawn",1218,411702,510963
06031100,Roses,1506,425210,943138
06031200,Carnations,494,142800,309113
06031300,Orchids,305,83742,190956
06031400,Chrysanthemums,477,112899,298801
06031500,Lilies (Lilium spp),2152,683195,1347322
06031900,Cut flowers & flower buds of a kind suitable for bouquets or for ornamental pur,1327,364100,830638
06042000,"Foliage, branches and other parts of plants, without flowers .or otherwise prepared, Fr",920,338772,575946
06049000,"Foliage, branches and other parts of plants, without flowers .or otherwise prepared, EX",32,7815,8557
07020019,"Tomatoes, Fresh, Nes",773,143004,194823
07031019,"Onions, Fresh Or Chilled, Nes",1880,432167,472152
07032090,"Garlic, Fresh Or Chilled, Nes",7594035,849855544,862909558
