hscode,description,net_wt_kg,assess_value_bdt,invoice_value_bdt
01051110,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),4252,229343449,183627637
01063900,OTHER BIRDS,314,8995729,1856282
01069000,"OTHER LIVE ANIMALS, NES",72,376673,139720
03019110,"Live Trout(Salmo Trutta,Onc'Ync'Mykiss,Clarki,Ag'Ab'Ta,Gilae,Apach.) fry",2,2940312,2580000
03021490,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) EXCL. Wrapped/canned up,830,1558314,1478535
03021990,"Fish...ruhi,katla,......,pangash, karp & alike, excl. wrapped/canned upto 2.5kg Other",665428,84251246,43281181
03023190,"Fresh Or Chilled Albacore Or Longfinned Tunas(Excl.Livers & Roes),nes",21,10308,10307
03023390,"Fresh Or Chilled Skipjack Or Stripe-Bellied Bonito(Ex.Livers & Roes),nes",4,4011,736
03024310,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus)Wr",61,42307,18773
03024390,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus) E",50,37546,6135
03024490,"Mackerel ( Scomber scombrus, Scomber australasicus, Scomber japonicus), EXCL. Wrapped",3,1946,954
03024990,Other excl. Wrapped/canned upto 2.5 kg,2100,516225,112347
03031990,"PACIFIC SALMON EXCCLUDING LIVERS AND ROSE, OTHER,NES",5940,547474,382235
03032490,"Other Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",66990,7501088,6089491
03032990,"Fish frozen.. Excl. wrapped/canned upto 2.5kg ruhi, katla,..,karp and alike Other",15300,1713394,1575741
03034390,"Frozen Skipjack Or Stripe-Bellied Bonito(Excl.Livers & Roes),nes",4500,503881,303683
03035190,"Herrings (Clupea harengus,Clupea pallasii), NES",890830,99774493,85946774
03035490,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), EXCL. Wrapped/can",301910,33810270,29633738
03035590,Other Jack and horse mackerel (Trachurus spp),337330,37787029,34955604
03035990,Wrapped/canned upto 2.5 kg,348000,86629711,84796549
