hscode,description,net_wt_kg,assess_value_bdt
29153900,"Other Esters Of Acetic Acids, Nes",3054,1774325
29157010,"Stearic Acid,Their Salts And Esters",8500,2451562
29157020,Ethyl Palmitate And Isopropyl Palmitate,400,66669
29159000,"Other Saturated Acyclic Monocarboxylic Acids And Their... Derivatives, Nes",45010,3381251
29161100,Acrylic Acid And Its Salts,16000,2303748
29161200,ESTERS OF ACRYLIC ACID,93005,18801904
29161400,ESTERS OF METHACRYLIC ACID,22000,8125517
29163100,"Benzoic Acid, Its Salts And Esters",15000,1998250
29171100,"Oxalic Acid, Its Salts And Esters",10380,1021959
29171900,"Acyclic polycarboxylic acids, etc, their... derivatives, nes",12000,3120884
29173990,"Other Aromatic Polycarboxylic Acids, Etc, Their... Derivatives, Nes",76000,15485918
29181100,"Lactic Acid, Its Salts And Esters",23,2152
29181400,Citric Acid,49725,8966013
29181500,Salts And Esters Of Citric Acid,6000,1259097
29201900,Thiopho. esters... nitrosated derivatives: Excl. Parathion (ISO) &para.-methyl,6,3635
29209090,"Oth.Ester Of Oth.Inorganic Acids(Exl.Of Hdrgn.Halides),Deriv.(Ex.Erythrit.",14500,1288971
29221100,Monoethanolamine And Its Salts,210,20826
29221500,Triethanolamine,18400,2534124
29241100,MEPROBAMATE (INN),1470,1159511
29241900,"Acyclic amides (incl. acyclic carbamates) and derivatives; salts thereof,nes",10000,3130093
29270000,"Diazo-, Azo- Or Azoxy-Compounds",19000,7237400
29291000,Isocyanates,41125,10352605
29309099,Other,6000,1239517
29339900,"Heterocyclic compounds with nitrogen hetero-atom(s) only,nes",110,233102
29362900,"Other Vitamins And Their Derivatives, Unmixed",500,845124
29392010,Quinine and its salts,10,40503
30059000,"Wadding, Gauze, Etc With Pharmaceutical Substances For Retail Sale, Nes",15,11627
30067000,GEL PREPARATIONS DESIGNED TO BE USED IN HUMAN OR VETE..MEDICAL INSTRUMENTS,1238,1915617
31022100,Ammonium Sulphate,400,65949
32011000,Quebracho Extract,61000,17668861
32012000,Wattle Extract,136500,36678129
32021000,Synthetic Organic Tanning Substances,597545,130645666
32029000,"Inorganic Tanning Substances; Tanning Preparations..., Nes",54225,16309138
32030000,"Colouring Matter Of Vege./Animal Origin,& Prepa..As Spec.In Not 3 Chp.32",100,626017
32041100,Disperse Dyes And Preparations Based Thereon,403550,533378506
32041200,Acid Dyes And Preparations; Mordant Dyes And Preparations,104396,110175654
32041310,AZO DYES,7250,6807949
32041390,Other basic dyes and preparation,22767,19719840
32041400,Direct Dyes And Preparations Based Thereon,25505,33133714
32041500,Vat Dyes And Preparations Based Thereon,774260,252980850
32041600,Reactive Dyes And Preparations Based Thereon,2660082,1910825289
32041700,Pigments And Preparations Based Thereon,118042,93178817
32041900,Other Synthetic Organic Coloring Matter(Inc.Mixtrs) Of Prods 320411-320419,620225,152702036
32042000,Synthetic Organic Products Used As Fluorescent Brightening Agents,73938,50681924
32049000,Synthetic Organic Products Used As Luminophores,15378,15623771
32050000,Colour Lakes; Preparations Based On Colour Lakes As Specified In Note 3,193,223164
32061100,"Pigments & Preparatns Based On Titanium Dioxide,Cont.=>80%Titanium Dioxide",96781,29164338
32061910,"Pigments/Preparatns Based On Titanium Dioxide, Cont.< 80% Titanium Dioxide",239000,21146659
32061920,Color master batch,73821,27266700
32061990,"Pigments/Preparatns Based On Titanium Dioxide, Cont.< 80% Titanium Dioxide",40750,15276223
32064900,"Other Colouring Matter; Preparations As Specified In Note 3, Nes",16110,5730318
32065000,Inorganic Products Of A Kind Used As Luminophores,430,2691880
32071000,"Prepared Pigments, Opacifiers & Colours... For Ceramics And Glass Ind.Etc",654,1024325
32081090,"Other Paints Based On Polyesters, In A Non-Aqueous Medium",9779,10970343
32082099,"Other Paints Based On Acrylic Or Vinyl Polymers, In A Non-Aqueous Medium",33575,26210852
32089090,"Other Paints And Varnishes, In A Non-Aqueous Medium, Nes",229152,126976466
32091000,Based on acrylic or vinyl polymers,7937,12002061
32099090,"Other Paints And Varnishes, In An Aqueous Medium, Nes",93579,59945058
32100020,Prepared Water Pigments Of A Kind Used For Finishing Leather For Cleaning.,4835,2944607
32100090,Other Paints & Varnishes,21987,16818806
32121000,Stamping Foils,995,1702495
32129000,"PIGMENTS(INCL.METALIC..) DISPERSED IN NON AQUEOUS MEDIA..,EXCL. STAMPING FOILS",19501,7538984
32139000,"Artists', Students' Or Signboard Painters' Colours In Packings, Nes",10,11147
32141000,"GLAZIERS PUTTY,GRAFTING PUTTY, RESIN CEMENTS, CAULKING COMPOUNDS AND OTHER MASTICS...",2602,484958
32149000,Non-Refractory Surfacing Preparations,5263,1408733
32151100,"Black printing ink, whether or not concentrated or solid",63094,78253365
32151900,"Printing ink, whether or not concentrated or solid (excl. black)",697166,463355717
32159020,Ink for ball point pen imp by VAT reg ball point pen manf. Ind.,49,438884
32159090,"Other Ink,Wheterh Or Not Concentrated Or Solid(Ex.Ink For Ball Points Pens",150449,85489010
33021010,Of A Kind Usd.Bvg.manf.&Imp.by VAT Reg.Bev.Inds.Contn.Alchol<0.5%absolute/vlm.Free Al,2300,6761901
33029000,Mixtures/With Basis Of Odorifer'S Subst'S Inc.Alc.Sol'S For Use In Ind Nes,50,33807
33030000,Perfumes And Toilet Waters,1841,4020999
33051000,Shampoos,4350,1856132
33053000,Hair Lacquers,11730,3273168
33059000,"Preparations For Use On The Hair, Nes",19007,12240925
33071000,"Pre-Shave, Shaving Or After-Shave Preparations",775,939373
33074900,"Preparations For Deodorizing Rooms, Nes",100,96156
33079000,"OTH.PREPARATIONS FOR PERFUMING, EXCL.(PRE-SHAVE..,PERSONAL..,PERFUMED BATH..)",17,74490
34011900,"Soap And Organic Surface-Active Products In Bars, Etc, Nes",13700,2554178
34012000,SOAP IN OTHER FORMS,4940,2268684
